window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,burstiness,syn_count,rst_count,syn_ratio,rst_ratio,zero_payload_ratio,flow_count_per_window,label
25,192.168.153.138,192.168.153.149,0.2190922965174136,0.9085616773892772,4.146935751878725,2,0,0.0833333333333333,0.0,0.5833333333333334,43,1
25,192.168.153.138,192.168.153.149,0.1965748557338008,0.6973356650511752,3.547430633730177,2,0,0.0714285714285714,0.0,0.6428571428571429,43,1
25,192.168.153.138,192.168.153.149,0.2400935214498768,0.9510141486636956,3.9610154531480526,2,0,0.0833333333333333,0.0,0.625,43,1
25,192.168.153.138,192.168.153.149,0.2096889640973961,0.7636075634001331,3.6416201810480273,2,0,0.0833333333333333,0.0,0.625,43,1
25,192.168.153.138,192.168.153.149,0.0306004782517751,0.0293626181667081,0.9595476882785272,2,0,0.08,0.0,0.6,43,1
25,192.168.153.138,192.168.153.149,0.1808404922485351,0.6928849587983908,3.831470209924754,2,0,0.08,0.0,0.6,43,1
25,192.168.153.138,192.168.153.149,0.2008830904960632,0.7484167785685907,3.725633535010044,2,0,0.08,0.0,0.6,43,1
25,192.168.153.138,192.168.153.149,0.0248610115051269,0.0274154468304112,1.1027486482099704,2,0,0.0769230769230769,0.0,0.6153846153846154,43,1
25,192.168.153.138,192.168.153.149,0.030617880821228,0.0440994622315995,1.4403172606585006,2,0,0.0952380952380952,0.0,0.5714285714285714,43,1
25,192.168.153.138,192.168.153.149,0.0616155238378615,0.1210297403147925,1.9642734943433529,2,0,0.0909090909090909,0.0,0.5454545454545454,43,1
25,192.168.153.138,192.168.153.149,0.0165456136067708,0.0356292153984496,2.153393415634304,2,1,0.2,0.1,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0165025393168131,0.0359598553924266,2.179049823913459,2,1,0.2,0.1,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0173124372959136,0.0249971411499962,1.4438834187660206,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.0413817167282104,0.0440547062587943,1.0645934906021364,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.0454134486970447,0.0571928188579625,1.2593806570273602,2,0,0.0909090909090909,0.0,0.5454545454545454,43,1
25,192.168.153.138,192.168.153.149,0.0590171575546264,0.0585878435368376,0.992725606661224,2,0,0.0952380952380952,0.0,0.5714285714285714,43,1
25,192.168.153.138,192.168.153.149,0.0410612821578979,0.0466272978354079,1.135553869363025,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.188362889819675,0.4735078081792674,2.513806241943779,2,0,0.1052631578947368,0.0,0.5263157894736842,43,1
25,192.168.153.138,192.168.153.149,0.251591145992279,0.5548762804955162,2.20546823421419,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.1998670412146526,0.5154305818115471,2.5788673243928515,2,0,0.0833333333333333,0.0,0.5833333333333334,43,1
25,192.168.153.138,192.168.153.149,0.2188466957637242,0.7880578186022398,3.600958268307871,2,0,0.0909090909090909,0.0,0.5909090909090909,43,1
25,192.168.153.138,192.168.153.149,0.1945776224136352,0.6715558763832038,3.4513520519620853,2,0,0.0952380952380952,0.0,0.5714285714285714,43,1
25,192.168.153.138,192.168.153.149,0.2645764946937561,0.6693457169589254,2.5298759730477363,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.0170626640319824,0.010529184259749,0.6170891157449406,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.1979391574859619,0.5971514454219039,3.0168434230314163,2,0,0.1052631578947368,0.0,0.5263157894736842,43,1
25,192.168.153.138,192.168.153.149,0.2162323625464188,0.6452661468843455,2.9841330838986946,2,0,0.1,0.0,0.6,43,1
25,192.168.153.138,192.168.153.149,0.0310871601104736,0.0279947613951696,0.9005248885934063,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.2626512315538194,0.5639922622088476,2.14730484556392,2,0,0.2,0.0,0.7,43,1
25,192.168.153.138,192.168.153.149,0.1189949261514764,0.2426193168340002,2.038904722081631,2,0,0.1,0.0,0.55,43,1
25,192.168.153.138,192.168.153.149,0.0862813889980316,0.1690360249649442,1.9591249854450132,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,43,1
25,192.168.153.138,192.168.153.149,0.0307804942131042,0.0264283052891546,0.8586056190710303,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0192517042160034,0.0113065267986469,0.5873000474029797,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0364744067192077,0.0212447973858054,0.5824576544686522,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0406591892242431,0.0447592148143085,1.1008388427878608,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.0215678811073303,0.015661628363631,0.7261551696104327,2,0,0.4,0.0,0.8,43,1
25,192.168.153.138,192.168.153.149,0.03385990858078,0.0262626353612133,0.7756262926274077,2,0,0.4,0.0,0.8,43,1
26,192.168.153.138,192.168.153.149,0.5690694877079555,1.321060189772025,2.3214391534026317,0,0,0.0,0.0,0.625,66,1
26,192.168.153.138,192.168.153.149,0.2620582921164376,0.8069001265856317,3.079086412679169,0,0,0.0,0.0,0.5454545454545454,66,1
26,192.168.153.138,192.168.153.149,0.3506123383839925,1.180178004271092,3.3660481251477083,0,0,0.0,0.0,0.5625,66,1
26,192.168.153.138,192.168.153.149,0.2159387611207507,0.7068039301603412,3.2731684042824694,0,0,0.0,0.0,0.5909090909090909,66,1
26,192.168.153.138,192.168.153.149,0.4199976544631155,1.6610813632872743,3.954977713889,0,0,0.0,0.0,0.55,66,1
26,192.168.153.138,192.168.153.149,0.3309701737903413,1.3201328753803343,3.988676261253061,0,0,0.0,0.0,0.5909090909090909,66,1
26,192.168.153.138,192.168.153.149,0.0092237790425618,0.0130219775375042,1.4117833349450526,0,2,0.0,0.5,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0092236995697021,0.0129656303920723,1.405686546281456,0,2,0.0,0.5,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0283122857411702,0.0351715441560475,1.242271446310777,0,0,0.0,0.0,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0169403553009033,0.0231726925122101,1.367898848672583,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.1768376185343815,0.551920530975753,3.1210583785850186,2,0,0.074074074074074,0.0,0.6296296296296297,66,1
26,192.168.153.138,192.168.153.149,0.1059985160827636,0.0965420341366022,0.9107866572511464,0,0,0.0,0.0,0.8,66,1
26,192.168.153.138,192.168.153.149,0.2349797487258911,0.8883123746432724,3.7803784345667495,0,0,0.0,0.0,0.5217391304347826,66,1
26,192.168.153.138,192.168.153.149,0.2416715522607167,0.7626670373118754,3.155799804228118,2,0,0.08,0.0,0.6,66,1
26,192.168.153.138,192.168.153.149,0.2625503921508789,0.9384658141477706,3.574421681337524,2,0,0.0769230769230769,0.0,0.6153846153846154,66,1
26,192.168.153.138,192.168.153.149,0.2306213504389712,0.8151349828839065,3.5345165628956523,0,0,0.0,0.0,0.55,66,1
26,192.168.153.138,192.168.153.149,0.0395617961883544,0.0364379221383799,0.9210381137625362,0,0,0.0,0.0,0.8333333333333334,66,1
26,192.168.153.138,192.168.153.149,0.0344807147979736,0.0372879083081481,1.0814134372394006,0,0,0.0,0.0,0.8333333333333334,66,1
26,192.168.153.138,192.168.153.149,0.1486132230077471,0.5498558147538296,3.699911781908976,2,0,0.0689655172413793,0.0,0.6206896551724138,66,1
