window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,packet_count,syn_count,rst_count,zero_payload_count,packet_size_std,unique_packet_sizes,flow_count_per_window,label
17,192.168.153.138,192.168.153.149,0.0166645348072052,0.0233049912778121,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0319981707466973,0.0325160103472054,19,2,0,10,410.555923358787,10,77,1
17,192.168.153.138,192.168.153.149,0.0097842897687639,0.011469447617425,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0179875578199114,0.0248747037852142,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0566116869449615,0.0906281658346969,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0441028177738189,0.0822203523187043,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0315487384796142,0.0513916015558634,9,2,2,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0251098660861744,0.0312758963446759,18,2,0,10,428.80633920595193,9,77,1
17,192.168.153.138,192.168.153.149,0.0082091391086578,0.0133493032708401,9,2,1,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.008171260356903,0.0132608456839189,9,2,1,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0263795852661132,0.0394086039735793,21,2,0,12,401.49403522027615,10,77,1
17,192.168.153.138,192.168.153.149,0.0067192614078521,0.013942812317087,9,2,1,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.026296151311774,0.040431956719442,20,2,0,11,409.5022710559736,10,77,1
17,192.168.153.138,192.168.153.149,0.0101367746080671,0.0116980627353094,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0073442799704415,0.0090794164518994,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.0310908744209691,0.0270524176197214,20,2,0,11,402.2038662171213,10,77,1
17,192.168.153.138,192.168.153.149,0.0294602844450208,0.0280892904289025,19,2,0,10,410.555923358787,10,77,1
17,192.168.153.138,192.168.153.149,0.0251613514763968,0.0262962812625026,15,2,0,8,453.1883297506923,8,77,1
17,192.168.153.138,192.168.153.149,0.0114787646702357,0.0132652981980601,8,2,1,6,9.971835337589566,3,77,1
17,192.168.153.138,192.168.153.149,0.006390631198883,0.0138741148633639,9,2,0,7,9.573626323794674,3,77,1
17,192.168.153.138,192.168.153.149,0.0,0.0,1,1,0,1,0.0,1,77,1
